job_seed,job_model,job_scheme_types,"backend","model","type","n_rounds","time","lognorm","relnorm","scheme","T"
624,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,5,0.073967829,-781.3560700793527,1.9039485627604351,"SAIS{...}(5, 0.0:1.0:1.0)",32
624,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,6,0.134964148,-781.2961604865906,2.021499400242762,"SAIS{...}(6, 0.0:1.0:1.0)",64
624,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,7,0.309870232,-781.5693465617958,1.5382623546056355,"SAIS{...}(7, 0.0:1.0:1.0)",128
624,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,8,0.514791911,-782.0024834812268,0.9975196000613822,"SAIS{...}(8, 0.0:1.0:1.0)",256
648,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,3,8.04053094,-782.5489945161821,0.5775302158237948,"SAIS{...}(3, 0.0:1.0:1.0)",8
648,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,4,17.498489157,-781.8346247691399,1.1798357464443783,"SAIS{...}(4, 0.0:1.0:1.0)",16
648,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,5,34.99067081,-781.7751546386004,1.2521290737324888,"SAIS{...}(5, 0.0:1.0:1.0)",32
648,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,6,70.807692094,-782.3694263229193,0.6911307027756614,"SAIS{...}(6, 0.0:1.0:1.0)",64
648,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,7,142.919420878,-782.3449608461721,0.7082480835485311,"SAIS{...}(7, 0.0:1.0:1.0)",128
648,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,8,286.056258838,-781.3536423400916,1.9085764688388984,"SAIS{...}(8, 0.0:1.0:1.0)",256
648,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,3,0.030941278,-782.5488189805804,0.5776316018358791,"SAIS{...}(3, 0.0:1.0:1.0)",8
648,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,4,0.051961049,-781.8352654446142,1.179080096706902,"SAIS{...}(4, 0.0:1.0:1.0)",16
648,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,5,0.084975177,-781.773543149112,1.2541484932725513,"SAIS{...}(5, 0.0:1.0:1.0)",32
648,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,6,0.134952988,-782.3629654766839,0.6956104478639116,"SAIS{...}(6, 0.0:1.0:1.0)",64
648,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,7,0.305870879,-782.346417477116,0.7072171784804321,"SAIS{...}(7, 0.0:1.0:1.0)",128
648,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,8,0.513793667,-781.3443061496351,1.9264787417307125,"SAIS{...}(8, 0.0:1.0:1.0)",256
952,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,3,8.033918436,-781.1493475549681,2.3411738409749003,"SAIS{...}(3, 0.0:1.0:1.0)",8
952,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,4,17.054796538,-781.7618515211101,1.2688975833431435,"SAIS{...}(4, 0.0:1.0:1.0)",16
952,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,5,34.9576062,-782.3584290175386,0.6987732247217113,"SAIS{...}(5, 0.0:1.0:1.0)",32
952,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,6,70.782666932,-782.0493093496958,0.9518866183115215,"SAIS{...}(6, 0.0:1.0:1.0)",64
952,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,7,142.086983529,-781.8407795886035,1.1725963718036116,"SAIS{...}(7, 0.0:1.0:1.0)",128
952,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,8,285.62312967,-782.0069278600205,0.9930960822802081,"SAIS{...}(8, 0.0:1.0:1.0)",256
952,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,3,0.030934022,-781.1493475705765,2.341173804432906,"SAIS{...}(3, 0.0:1.0:1.0)",8
952,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,4,0.048955298,-781.7597184927398,1.2716070665623802,"SAIS{...}(4, 0.0:1.0:1.0)",16
952,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,5,0.099800174,-782.357759740763,0.6992410539486014,"SAIS{...}(5, 0.0:1.0:1.0)",32
952,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,6,0.135507106,-782.05128256834,0.950010189799862,"SAIS{...}(6, 0.0:1.0:1.0)",64
952,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,7,0.258155199,-781.8376638871159,1.1762555295249892,"SAIS{...}(7, 0.0:1.0:1.0)",128
952,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,8,0.513376016,-781.9503108408868,1.0509443691188851,"SAIS{...}(8, 0.0:1.0:1.0)",256
991,Unid,SAIS,CPU,"Unid",SAIS,5,0.500537105,-54.00893075526811,1.5290940772299578e-13,"SAIS{...}(5, 0.0:1.0:1.0)",32
991,Unid,SAIS,CPU,"Unid",SAIS,6,0.992744947,-25.107950322741694,0.5444657051308767,"SAIS{...}(6, 0.0:1.0:1.0)",64
991,Unid,SAIS,CPU,"Unid",SAIS,7,2.42305196,-22.531020117522715,7.163365285388283,"SAIS{...}(7, 0.0:1.0:1.0)",128
991,Unid,SAIS,CPU,"Unid",SAIS,8,4.320976556,-25.760260805140888,0.2835800577175643,"SAIS{...}(8, 0.0:1.0:1.0)",256
991,Unid,SAIS,CPU,"Unid",SAIS,9,8.341216987,-24.778673653768227,0.7567868374524852,"SAIS{...}(9, 0.0:1.0:1.0)",512
991,Unid,SAIS,CPU,"Unid",SAIS,10,16.33157137,-24.702054983963812,0.8170500020594005,"SAIS{...}(10, 0.0:1.0:1.0)",1024
991,Unid,SAIS,GPU,"Unid",SAIS,5,0.014862977,-72.25739360419878,1.816466896400296e-21,"SAIS{...}(5, 0.0:1.0:1.0)",32
991,Unid,SAIS,GPU,"Unid",SAIS,6,0.015023874,-29.214937693764554,0.008960424339795376,"SAIS{...}(6, 0.0:1.0:1.0)",64
991,Unid,SAIS,GPU,"Unid",SAIS,7,0.01681378,-31.78001067790197,0.0006891782046761945,"SAIS{...}(7, 0.0:1.0:1.0)",128
991,Unid,SAIS,GPU,"Unid",SAIS,8,0.091987526,-24.31004003597664,1.2092011851377342,"SAIS{...}(8, 0.0:1.0:1.0)",256
991,Unid,SAIS,GPU,"Unid",SAIS,9,0.090917581,-24.26235682236498,1.2682565697680745,"SAIS{...}(9, 0.0:1.0:1.0)",512
991,Unid,SAIS,GPU,"Unid",SAIS,10,0.137835038,-24.14145078318796,1.431251472029399,"SAIS{...}(10, 0.0:1.0:1.0)",1024
673,Unid,SAIS,CPU,"Unid",SAIS,5,0.494162016,-41.572053926179784,3.8521322176880743e-8,"SAIS{...}(5, 0.0:1.0:1.0)",32
673,Unid,SAIS,CPU,"Unid",SAIS,6,0.985481149,-41.51803617512226,4.0659384153013687e-8,"SAIS{...}(6, 0.0:1.0:1.0)",64
673,Unid,SAIS,CPU,"Unid",SAIS,7,2.399976563,-36.820123476328,4.461063014256596e-6,"SAIS{...}(7, 0.0:1.0:1.0)",128
673,Unid,SAIS,CPU,"Unid",SAIS,8,4.302148495,-28.86065449670585,0.012770026973229095,"SAIS{...}(8, 0.0:1.0:1.0)",256
673,Unid,SAIS,CPU,"Unid",SAIS,9,8.32051815,-24.47643646783699,1.0238433456627185,"SAIS{...}(9, 0.0:1.0:1.0)",512
673,Unid,SAIS,CPU,"Unid",SAIS,10,16.31380826,-24.752080515655116,0.777182160218957,"SAIS{...}(10, 0.0:1.0:1.0)",1024
673,Unid,SAIS,GPU,"Unid",SAIS,5,0.031811542,-125.60238224761989,1.2353592816874814e-44,"SAIS{...}(5, 0.0:1.0:1.0)",32
673,Unid,SAIS,GPU,"Unid",SAIS,6,0.015114876,-39.3496321880863,3.5553853815250194e-7,"SAIS{...}(6, 0.0:1.0:1.0)",64
673,Unid,SAIS,GPU,"Unid",SAIS,7,0.01677105,-24.28651317750667,1.2379871845762171,"SAIS{...}(7, 0.0:1.0:1.0)",128
673,Unid,SAIS,GPU,"Unid",SAIS,8,0.079974755,-27.716956725626105,0.04007683767566402,"SAIS{...}(8, 0.0:1.0:1.0)",256
673,Unid,SAIS,GPU,"Unid",SAIS,9,0.085927232,-24.259210548671135,1.272253135899176,"SAIS{...}(9, 0.0:1.0:1.0)",512
673,Unid,SAIS,GPU,"Unid",SAIS,10,0.153871176,-24.98569806319867,0.6152675511870304,"SAIS{...}(10, 0.0:1.0:1.0)",1024
722,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,3,8.024781172,-781.8616942640652,1.148326581310779,"SAIS{...}(3, 0.0:1.0:1.0)",8
722,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,4,17.404897258,-782.2842306267983,0.7525930565628973,"SAIS{...}(4, 0.0:1.0:1.0)",16
722,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,5,34.950826316,-781.5921556146072,1.5035731650164494,"SAIS{...}(5, 0.0:1.0:1.0)",32
722,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,6,70.719619051,-782.1106891154363,0.8952170148235352,"SAIS{...}(6, 0.0:1.0:1.0)",64
722,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,7,142.575371704,-781.8281756853974,1.187469193889826,"SAIS{...}(7, 0.0:1.0:1.0)",128
722,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,8,285.546618726,-781.9761483824517,1.0241383424575257,"SAIS{...}(8, 0.0:1.0:1.0)",256
722,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,3,0.017844838,-781.861694239698,1.1483266092923927,"SAIS{...}(3, 0.0:1.0:1.0)",8
722,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,4,0.057279745,-782.2842788364603,0.7525567751805395,"SAIS{...}(4, 0.0:1.0:1.0)",16
722,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,5,0.073979162,-781.6004597533927,1.491138983816968,"SAIS{...}(5, 0.0:1.0:1.0)",32
722,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,6,0.134969862,-782.2748575222163,0.7596803530876536,"SAIS{...}(6, 0.0:1.0:1.0)",64
722,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,7,0.257231751,-781.7439102949037,1.2918686099401042,"SAIS{...}(7, 0.0:1.0:1.0)",128
722,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,8,0.510955673,-782.0088888379248,0.9911505510013539,"SAIS{...}(8, 0.0:1.0:1.0)",256
939,Unid,ZJA,CPU,"Unid",ZJA,5,0.921927227,-40.35273867599787,1.3038963510581159e-7,"ZJA(1.12890625)",13
