time;lognorm;type;scheme;T;backend
0.114957144;-22.978312590822796;FixedSchedule;FixedSchedule(8);8;CPU
0.115034107;-84.34862814258061;FixedSchedule;FixedSchedule(8);8;CPU
0.115030127;-21.910340577748986;FixedSchedule;FixedSchedule(8);8;CPU
0.114983146;-298.2270384819361;FixedSchedule;FixedSchedule(8);8;CPU
0.114880136;-126.0093489677759;FixedSchedule;FixedSchedule(8);8;CPU
0.245067946;-225.22383795093023;FixedSchedule;FixedSchedule(16);16;CPU
0.245722773;-28.869849388981635;FixedSchedule;FixedSchedule(16);16;CPU
0.245030861;-259.7680083305689;FixedSchedule;FixedSchedule(16);16;CPU
0.244839676;-43.79653463672124;FixedSchedule;FixedSchedule(16);16;CPU
0.244957073;-178.91591940234628;FixedSchedule;FixedSchedule(16);16;CPU
0.252667873;-22.9783125908228;FixedSchedule;FixedSchedule(16);16;CPU
0.244976099;-84.3486281425806;FixedSchedule;FixedSchedule(16);16;CPU
0.245008326;-21.910340577748983;FixedSchedule;FixedSchedule(16);16;CPU
0.245009877;-298.22703848193606;FixedSchedule;FixedSchedule(16);16;CPU
0.244991385;-126.0093489677759;FixedSchedule;FixedSchedule(16);16;CPU
0.504909251;-225.2238379509303;FixedSchedule;FixedSchedule(32);32;CPU
0.504826748;-28.869849388981642;FixedSchedule;FixedSchedule(32);32;CPU
0.504934501;-259.7680083305688;FixedSchedule;FixedSchedule(32);32;CPU
0.504984895;-43.796534636721226;FixedSchedule;FixedSchedule(32);32;CPU
0.504755151;-178.91591940234625;FixedSchedule;FixedSchedule(32);32;CPU
0.505252982;-22.978312590822792;FixedSchedule;FixedSchedule(32);32;CPU
0.504943637;-84.34862814258061;FixedSchedule;FixedSchedule(32);32;CPU
0.508102698;-21.910340577748983;FixedSchedule;FixedSchedule(32);32;CPU
0.50509405;-298.22703848193606;FixedSchedule;FixedSchedule(32);32;CPU
0.505665166;-126.00934896777588;FixedSchedule;FixedSchedule(32);32;CPU
1.025838552;-225.22383795093023;FixedSchedule;FixedSchedule(64);64;CPU
1.024322495;-28.869849388981642;FixedSchedule;FixedSchedule(64);64;CPU
1.025920946;-259.76800833056905;FixedSchedule;FixedSchedule(64);64;CPU
1.025875679;-43.79653463672125;FixedSchedule;FixedSchedule(64);64;CPU
1.027203828;-178.91591940234622;FixedSchedule;FixedSchedule(64);64;CPU
1.025211399;-22.978312590822792;FixedSchedule;FixedSchedule(64);64;CPU
1.026039676;-84.34862814258064;FixedSchedule;FixedSchedule(64);64;CPU
1.030913641;-21.91034057774898;FixedSchedule;FixedSchedule(64);64;CPU
1.025111902;-298.2270384819362;FixedSchedule;FixedSchedule(64);64;CPU
1.028337531;-126.00934896777592;FixedSchedule;FixedSchedule(64);64;CPU
2.100120202;-225.2238379509305;FixedSchedule;FixedSchedule(128);128;CPU
2.065843057;-28.869849388981642;FixedSchedule;FixedSchedule(128);128;CPU
2.07197631;-259.7680083305685;FixedSchedule;FixedSchedule(128);128;CPU
2.063749684;-43.79653463672124;FixedSchedule;FixedSchedule(128);128;CPU
2.065531282;-178.91591940234662;FixedSchedule;FixedSchedule(128);128;CPU
2.065122395;-22.978312590822835;FixedSchedule;FixedSchedule(128);128;CPU
2.065736424;-84.34862814258074;FixedSchedule;FixedSchedule(128);128;CPU
2.066322677;-21.910340577748997;FixedSchedule;FixedSchedule(128);128;CPU
2.067267304;-298.2270384819357;FixedSchedule;FixedSchedule(128);128;CPU
2.063975154;-126.00934896777619;FixedSchedule;FixedSchedule(128);128;CPU
0.156478542;-225.22383795093023;ZJA;ZJA(4.515625);4;CPU
0.140007398;-28.869849388981635;ZJA;ZJA(4.515625);4;CPU
0.147148098;-259.76800833056893;ZJA;ZJA(4.515625);4;CPU
0.26939754;-39.309893831469154;ZJA;ZJA(4.515625);6;CPU
0.142602461;-178.91591940234625;ZJA;ZJA(4.515625);4;CPU
0.143650665;-22.978312590822796;ZJA;ZJA(4.515625);4;CPU
0.142123197;-84.34862814258062;ZJA;ZJA(4.515625);4;CPU
0.072708693;-21.910340577748983;ZJA;ZJA(4.515625);3;CPU
0.143823053;-167.86687563094787;ZJA;ZJA(4.515625);4;CPU
0.143852314;-126.00934896777592;ZJA;ZJA(4.515625);4;CPU
0.479475062;-34.029675425928446;ZJA;ZJA(1.12890625);9;CPU
0.557125427;-27.68196195312033;ZJA;ZJA(1.12890625);10;CPU
0.493490248;-23.069124336089516;ZJA;ZJA(1.12890625);9;CPU
0.425739948;-23.150365408532693;ZJA;ZJA(1.12890625);8;CPU
0.629156742;-34.99665351277328;ZJA;ZJA(1.12890625);11;CPU
0.427963826;-22.977275086063706;ZJA;ZJA(1.12890625);8;CPU
0.43150578;-165.55455694507086;ZJA;ZJA(1.12890625);8;CPU
0.552338559;-41.30109995402602;ZJA;ZJA(1.12890625);10;CPU
0.803002853;-89.25115360572732;ZJA;ZJA(1.12890625);14;CPU
0.490870973;-25.067705238308605;ZJA;ZJA(1.12890625);9;CPU
1.571450467;-32.793873921212466;ZJA;ZJA(0.2822265625);25;CPU
1.773776101;-40.27927038571205;ZJA;ZJA(0.2822265625);28;CPU
1.723373791;-45.49142660345014;ZJA;ZJA(0.2822265625);27;CPU
1.763399937;-30.559190330556206;ZJA;ZJA(0.2822265625);28;CPU
1.317082923;-23.784605425695396;ZJA;ZJA(0.2822265625);21;CPU
1.381616256;-25.933348789422432;ZJA;ZJA(0.2822265625);22;CPU
1.360756818;-23.136766041514655;ZJA;ZJA(0.2822265625);21;CPU
1.595962014;-26.150588639649015;ZJA;ZJA(0.2822265625);25;CPU
1.901839683;-36.38289403261926;ZJA;ZJA(0.2822265625);30;CPU
2.01444424;-48.52725691369465;ZJA;ZJA(0.2822265625);32;CPU
3.288758933;-28.094054349782482;ZJA;ZJA(0.070556640625);52;CPU
3.382895544;-26.962218963367242;ZJA;ZJA(0.070556640625);53;CPU
3.547091759;-28.04269516063946;ZJA;ZJA(0.070556640625);55;CPU
3.517350412;-24.717548201643407;ZJA;ZJA(0.070556640625);54;CPU
